Marker_ID,Detection_Rate,BlackBits,WhiteBits,RowTransitions,ColTransitions,BlackComponents,WhiteComponents,HorizontalSymmetry,VerticalSymmetry,Rotation90Similarity,Rotation180Similarity,Rotation270Similarity
99,99.82,8,8,3,8,2,2,0.5,0.75,0.375,0.5,0.375
121,99.36,10,6,3,5,1,2,0.5,0.5,0.5,0.25,0.5
142,99.02,7,9,4,8,2,2,0.625,0.375,0.5,0.375,0.5
120,98.87,11,5,3,8,2,3,0.625,0.375,0.5,0.625,0.5
108,98.84,11,5,6,6,2,3,0.625,0.625,0.625,0.375,0.625
94,98.2,9,7,7,6,2,3,0.625,0.625,0.375,0.625,0.375
125,98.05,11,5,4,5,1,2,0.625,0.375,0.5,0.375,0.5
127,97.87,9,7,2,7,2,1,0.625,0.625,0.375,0.625,0.375
131,97.5,6,10,3,5,2,1,0.75,0.5,0.625,0.5,0.625
86,97.41,7,9,7,3,2,2,0.375,0.625,0.375,0.375,0.375
129,97.23,8,8,3,6,1,1,0.75,0.25,0.5,0.25,0.5
141,96.34,10,6,6,4,1,2,0.25,0.5,0.375,0.75,0.375
114,96.31,10,6,5,6,2,2,0.75,0.5,0.625,0.5,0.625
139,95.85,10,6,6,7,1,4,0.5,0.5,0.5,0.75,0.5
74,95.79,6,10,4,4,2,1,0.5,0.5,0.375,0.5,0.375
77,95.76,9,7,7,7,3,3,0.625,0.125,0.5,0.375,0.5
98,95.49,8,8,7,9,5,3,0.75,0.5,0.625,0.5,0.625
138,94.09,8,8,5,6,3,2,0.5,0.75,0.625,0.5,0.625
132,93.99,10,6,4,6,2,1,0.5,0.5,0.5,0.5,0.5
113,93.72,11,5,5,5,1,2,0.375,0.625,0.5,0.625,0.5
76,93.66,7,9,5,8,2,3,0.375,0.375,0.375,0.625,0.375
130,93.45,8,8,3,7,3,1,0.75,0.75,0.625,0.75,0.625
109,93.45,9,7,4,4,1,1,0.875,0.375,0.5,0.375,0.5
102,93.36,5,11,5,7,3,2,0.625,0.625,0.5,0.375,0.5
82,93.11,7,9,6,5,2,2,0.125,0.375,0.25,0.625,0.25
97,92.99,6,10,5,7,4,1,0.5,0.5,0.5,0.75,0.5
90,92.87,7,9,5,6,2,2,0.625,0.625,0.375,0.375,0.375
111,92.65,11,5,3,5,2,2,0.875,0.375,0.625,0.375,0.625
103,92.41,4,12,3,5,2,1,0.5,0.75,0.5,0.5,0.5
75,92.23,5,11,8,6,4,3,0.375,0.625,0.625,0.625,0.625
93,91.34,9,7,6,8,3,4,0.375,0.625,0.375,0.375,0.375
106,91.25,13,3,3,4,1,2,0.625,0.625,0.625,0.625,0.625
91,91.13,8,8,4,6,1,2,0.5,0.25,0.375,0.25,0.375
83,89.21,6,10,8,6,3,3,0.5,0.5,0.625,0.5,0.625
123,89.18,10,6,6,6,2,3,0.5,0.75,0.5,0.25,0.5
89,89.15,8,8,9,4,2,3,0.25,0.75,0.5,0.25,0.5
116,89.13,7,9,4,5,2,1,0.875,0.375,0.375,0.375,0.375
96,88.81,7,9,5,7,4,1,0.625,0.625,0.625,0.625,0.625
128,87.23,11,5,4,4,1,2,0.375,0.375,0.375,0.625,0.375
73,87.13,6,10,9,8,5,4,0.5,0.75,0.625,0.5,0.625
95,86.8,8,8,5,8,4,2,0.5,0.75,0.625,0.5,0.625
119,86.68,10,6,6,8,2,5,0.5,0.5,0.625,0.5,0.625
134,86.43,8,8,3,8,2,1,0.75,0.25,0.5,0.25,0.5
78,85.73,8,8,8,6,2,4,0.5,0.5,0.375,0.5,0.375
104,85.46,5,11,6,4,3,1,0.625,0.625,0.5,0.375,0.5
122,85.4,10,6,6,6,3,2,0.5,0.5,0.625,0.5,0.625
81,85.18,9,7,5,8,3,2,0.375,0.375,0.625,0.625,0.625
88,84.66,7,9,8,4,3,1,0.125,0.625,0.5,0.375,0.5
79,82.68,6,10,8,7,4,3,0.25,0.5,0.375,0.5,0.375
101,82.64,7,9,8,7,4,3,0.375,0.625,0.5,0.375,0.5
124,81.1,7,9,6,7,3,2,0.625,0.625,0.375,0.625,0.375
100,78.69,6,10,7,6,4,2,0.5,0.5,0.25,0.75,0.25
84,75.21,7,9,7,8,3,4,0.625,0.375,0.5,0.375,0.5
144,74.39,8,8,6,6,2,2,0.5,0.75,0.125,0.75,0.125
92,73.88,10,6,6,7,2,3,0.75,0.5,0.625,0.5,0.625
105,72.22,13,3,5,4,2,3,0.625,0.625,0.625,0.625,0.625
143,70.96,8,8,9,5,3,3,0.25,0.25,0.25,0.75,0.25
133,66.82,9,7,5,9,4,2,0.625,0.625,0.5,0.625,0.5
117,62.76,10,6,6,9,3,4,0.5,0.5,0.25,0.75,0.25
137,58.48,7,9,5,7,3,1,0.625,0.375,0.5,0.375,0.5
135,43.76,9,7,8,8,4,4,0.375,0.375,0.25,0.625,0.25
