Marker_ID,Detection_Rate,BlackBits,WhiteBits,FillRatio,RowTransitions,ColTransitions,TotalTransitions,BlackComponents,WhiteComponents,TotalComponents,HorizontalSymmetry,VerticalSymmetry,Rotation90Similarity,Rotation180Similarity,Rotation270Similarity,NearestHammingDistance,AverageHammingDistance
119,86.68,10,6,0.375,6,8,14,2,5,7,0.5,0.5,0.625,0.5,0.625,3,7.531914893617022
14,86.46,10,6,0.375,7,8,15,3,4,7,0.5,0.25,0.375,0.5,0.375,3,7.716312056737588
134,86.43,8,8,0.5,3,8,11,2,1,3,0.75,0.25,0.5,0.25,0.5,3,7.432624113475177
78,85.73,8,8,0.5,8,6,14,2,4,6,0.5,0.5,0.375,0.5,0.375,3,8.453900709219859
104,85.46,5,11,0.6875,6,4,10,3,1,4,0.625,0.625,0.5,0.375,0.5,3,8.354609929078014
122,85.4,10,6,0.375,6,6,12,3,2,5,0.5,0.5,0.625,0.5,0.625,3,7.829787234042553
81,85.18,9,7,0.4375,5,8,13,3,2,5,0.375,0.375,0.625,0.625,0.625,4,8.156028368794326
18,84.85,7,9,0.5625,7,7,14,4,2,6,0.375,0.625,0.5,0.625,0.5,4,8.056737588652481
20,84.76,9,7,0.4375,6,8,14,2,4,6,0.625,0.375,0.625,0.375,0.625,3,7.843971631205674
55,84.7,8,8,0.5,6,7,13,3,3,6,0.75,0.5,0.375,0.5,0.375,4,7.943262411347518
88,84.66,7,9,0.5625,8,4,12,3,1,4,0.125,0.625,0.5,0.375,0.5,4,7.886524822695035
27,83.5,9,7,0.4375,11,5,16,4,4,8,0.125,0.625,0.5,0.375,0.5,4,8.28368794326241
51,82.73,9,7,0.4375,9,5,14,3,3,6,0.375,0.375,0.5,0.625,0.5,3,7.914893617021277
7,82.71,8,8,0.5,5,7,12,4,1,5,0.5,0.25,0.5,0.5,0.5,4,8.099290780141844
79,82.68,6,10,0.625,8,7,15,4,3,7,0.25,0.5,0.375,0.5,0.375,4,8.49645390070922
101,82.64,7,9,0.5625,8,7,15,4,3,7,0.375,0.625,0.5,0.375,0.5,3,8.198581560283689
58,82.13,9,7,0.4375,7,7,14,4,3,7,0.625,0.625,0.625,0.625,0.625,4,8.22695035460993
44,81.96,10,6,0.375,6,6,12,2,2,4,0.5,0.5,0.5,0.5,0.5,3,7.815602836879433
35,81.13,11,5,0.3125,6,8,14,2,5,7,0.875,0.375,0.5,0.375,0.5,3,7.48936170212766
124,81.1,7,9,0.5625,6,7,13,3,2,5,0.625,0.625,0.375,0.625,0.375,3,7.74468085106383
70,79.21,7,9,0.5625,6,7,13,3,2,5,0.625,0.625,0.375,0.625,0.375,3,7.858156028368795
100,78.69,6,10,0.625,7,6,13,4,2,6,0.5,0.5,0.25,0.75,0.25,4,8.212765957446809
72,78.63,10,6,0.375,5,6,11,2,3,5,0.5,0.25,0.625,0.5,0.625,4,8.156028368794326
59,77.53,5,11,0.6875,6,6,12,5,2,7,0.625,0.625,0.625,0.625,0.625,3,8.0
28,75.91,11,5,0.3125,6,5,11,3,3,6,0.375,0.625,0.5,0.375,0.5,4,7.75886524822695
84,75.21,7,9,0.5625,7,8,15,3,4,7,0.625,0.375,0.5,0.375,0.5,4,8.425531914893616
67,74.81,10,6,0.375,9,7,16,3,5,8,0.25,0.5,0.5,0.5,0.5,4,7.787234042553192
144,74.39,8,8,0.5,6,6,12,2,2,4,0.5,0.75,0.125,0.75,0.125,3,7.50354609929078
39,74.22,9,7,0.4375,8,9,17,4,5,9,0.125,0.375,0.25,0.625,0.25,4,7.631205673758865
92,73.88,10,6,0.375,6,7,13,2,3,5,0.75,0.5,0.625,0.5,0.625,3,7.546099290780142
31,73.38,7,9,0.5625,8,5,13,4,2,6,0.375,0.375,0.625,0.625,0.625,3,7.914893617021277
60,73.05,4,12,0.75,5,4,9,3,1,4,0.75,0.5,0.625,0.5,0.625,3,8.184397163120567
105,72.22,13,3,0.1875,5,4,9,2,3,5,0.625,0.625,0.625,0.625,0.625,3,7.475177304964539
9,72.05,6,10,0.625,6,6,12,4,1,5,0.5,0.5,0.5,0.5,0.5,3,8.198581560283689
0,71.99,8,8,0.5,8,6,14,4,3,7,0.25,0.5,0.375,0.25,0.375,4,8.198581560283689
11,71.52,9,7,0.4375,6,6,12,3,3,6,0.375,0.375,0.5,0.375,0.5,4,7.574468085106383
143,70.96,8,8,0.5,9,5,14,3,3,6,0.25,0.25,0.25,0.75,0.25,3,7.617021276595745
47,70.62,9,7,0.4375,8,8,16,5,3,8,0.625,0.625,0.625,0.375,0.625,3,7.900709219858156
53,70.3,5,11,0.6875,6,7,13,4,1,5,0.625,0.625,0.625,0.375,0.625,3,7.843971631205674
8,70.09,4,12,0.75,6,6,12,4,3,7,0.5,0.5,0.5,0.5,0.5,4,8.595744680851064
56,68.72,11,5,0.3125,7,7,14,3,4,7,0.625,0.625,0.5,0.625,0.5,3,8.127659574468085
19,67.68,5,11,0.6875,6,5,11,3,1,4,0.625,0.625,0.375,0.625,0.375,4,8.042553191489361
133,66.82,9,7,0.4375,5,9,14,4,2,6,0.625,0.625,0.5,0.625,0.5,3,7.475177304964539
68,66.77,9,7,0.4375,7,7,14,2,4,6,0.375,0.625,0.375,0.375,0.375,4,7.98581560283688
117,62.76,10,6,0.375,6,9,15,3,4,7,0.5,0.5,0.25,0.75,0.25,3,7.829787234042553
46,61.33,6,10,0.625,5,9,14,4,3,7,0.5,0.25,0.5,0.5,0.5,4,7.631205673758865
57,59.63,8,8,0.5,6,10,16,4,4,8,0.75,0.0,0.5,0.25,0.5,4,8.170212765957446
137,58.48,7,9,0.5625,5,7,12,3,1,4,0.625,0.375,0.5,0.375,0.5,3,7.659574468085107
135,43.76,9,7,0.4375,8,8,16,4,4,8,0.375,0.375,0.25,0.625,0.25,3,7.460992907801418
