47. Marker ID: 89  , Average Detection Rate: 89.15%

48. Marker ID: 116 , Average Detection Rate: 89.13%

49. Marker ID: 96  , Average Detection Rate: 88.81%

50. Marker ID: 128 , Average Detection Rate: 87.23%

51. Marker ID: 73  , Average Detection Rate: 87.13%

52. Marker ID: 95  , Average Detection Rate: 86.80%

53. Marker ID: 119 , Average Detection Rate: 86.68%

54. Marker ID: 134 , Average Detection Rate: 86.43%

55. Marker ID: 78  , Average Detection Rate: 85.73%

56. Marker ID: 104 , Average Detection Rate: 85.46%

57. Marker ID: 122 , Average Detection Rate: 85.40%

58. Marker ID: 81  , Average Detection Rate: 85.18%

59. Marker ID: 88  , Average Detection Rate: 84.66%

60. Marker ID: 79  , Average Detection Rate: 82.68%

61. Marker ID: 101 , Average Detection Rate: 82.64%

62. Marker ID: 124 , Average Detection Rate: 81.10%

63. Marker ID: 100 , Average Detection Rate: 78.69%

64. Marker ID: 84  , Average Detection Rate: 75.21%

65. Marker ID: 144 , Average Detection Rate: 74.39%

66. Marker ID: 92  , Average Detection Rate: 73.88%
67. Marker ID: 105 , Average Detection Rate: 72.22%
68. Marker ID: 143 , Average Detection Rate: 70.96%
69. Marker ID: 133 , Average Detection Rate: 66.82%
70. Marker ID: 117 , Average Detection Rate: 62.76%
71. Marker ID: 137 , Average Detection Rate: 58.48%
72. Marker ID: 135 , Average Detection Rate: 43.76%
